2015-12-20 21:14:48 [NOTICE] emotion: normal
2015-12-20 21:14:53 [NOTICE] emotion: normal
2015-12-20 21:15:03 [NOTICE] emotion: normal
2015-12-20 21:15:19 [NOTICE] emotion: normal
2015-12-20 21:15:24 [NOTICE] emotion: normal
2015-12-20 21:15:42 [NOTICE] emotion: normal
2015-12-20 21:15:55 [NOTICE] emotion: normal
2015-12-20 21:16:05 [NOTICE] emotion: normal
2015-12-20 21:16:26 [NOTICE] emotion: normal
2015-12-20 21:16:31 [NOTICE] emotion: normal
2015-12-20 21:16:48 [NOTICE] emotion: normal
2015-12-20 21:17:00 [NOTICE] emotion: dere
2015-12-20 21:17:06 [NOTICE] emotion: normal
2015-12-20 21:17:11 [NOTICE] emotion: normal
2015-12-20 21:17:22 [NOTICE] emotion: normal
2015-12-20 21:17:29 [NOTICE] emotion: normal
2015-12-20 21:17:35 [NOTICE] emotion: normal
2015-12-20 21:17:40 [NOTICE] emotion: normal
2015-12-20 21:17:54 [NOTICE] emotion: normal
2015-12-20 21:17:59 [NOTICE] emotion: normal
2015-12-20 21:18:03 [NOTICE] emotion: normal
2015-12-20 21:18:07 [NOTICE] emotion: normal
2015-12-20 21:18:10 [NOTICE] emotion: normal
2015-12-20 21:18:39 [NOTICE] emotion: normal
2015-12-20 21:18:44 [NOTICE] emotion: normal
2015-12-20 21:18:53 [NOTICE] emotion: normal
2015-12-20 21:19:12 [NOTICE] emotion: normal
2015-12-20 21:19:18 [NOTICE] emotion: normal
2015-12-20 21:19:24 [NOTICE] emotion: normal
2015-12-20 21:19:28 [NOTICE] emotion: normal
2015-12-20 21:19:35 [NOTICE] emotion: normal
2015-12-20 21:19:44 [NOTICE] emotion: normal
2015-12-20 21:19:59 [NOTICE] emotion: normal
2015-12-20 21:20:05 [NOTICE] emotion: normal
2015-12-20 21:20:14 [NOTICE] emotion: normal
2015-12-20 21:20:25 [NOTICE] emotion: normal
2015-12-20 21:20:34 [NOTICE] emotion: normal
2015-12-20 21:20:44 [NOTICE] emotion: normal
2015-12-20 21:20:48 [NOTICE] emotion: normal
2015-12-20 21:20:56 [NOTICE] emotion: normal
2015-12-20 21:21:01 [NOTICE] emotion: dere
2015-12-20 21:21:10 [NOTICE] emotion: normal
2015-12-20 21:21:18 [NOTICE] emotion: normal
2015-12-20 21:21:30 [NOTICE] emotion: normal
2015-12-20 21:21:35 [NOTICE] emotion: normal
2015-12-20 21:21:39 [NOTICE] emotion: normal
2015-12-20 21:21:48 [NOTICE] emotion: normal
2015-12-20 21:22:13 [NOTICE] emotion: normal
2015-12-20 21:22:19 [NOTICE] emotion: normal
2015-12-20 21:22:24 [NOTICE] emotion: normal
2015-12-20 21:22:34 [NOTICE] emotion: normal
2015-12-20 21:22:42 [NOTICE] emotion: normal
2015-12-20 21:22:47 [NOTICE] emotion: normal
2015-12-20 21:22:51 [NOTICE] emotion: normal
2015-12-20 21:22:54 [NOTICE] emotion: normal
2015-12-20 21:22:59 [NOTICE] emotion: normal
2015-12-20 21:23:35 [NOTICE] emotion: normal
2015-12-20 21:23:43 [NOTICE] emotion: normal
2015-12-20 21:23:48 [NOTICE] emotion: normal
2015-12-20 21:23:53 [NOTICE] emotion: normal
2015-12-20 21:24:08 [NOTICE] emotion: normal
2015-12-20 21:24:15 [NOTICE] emotion: normal
2015-12-20 21:24:24 [NOTICE] emotion: normal
2015-12-20 21:24:40 [NOTICE] emotion: normal
2015-12-20 21:24:51 [NOTICE] emotion: normal
2015-12-20 21:25:07 [NOTICE] emotion: normal
2015-12-20 21:25:39 [NOTICE] emotion: normal
2015-12-20 21:25:46 [NOTICE] emotion: normal
2015-12-20 21:25:53 [NOTICE] emotion: normal
2015-12-20 21:25:59 [NOTICE] emotion: normal
2015-12-20 21:26:13 [NOTICE] emotion: normal
2015-12-20 21:26:20 [NOTICE] emotion: normal
2015-12-20 21:26:32 [NOTICE] emotion: normal
2015-12-20 21:26:38 [NOTICE] emotion: normal
2015-12-20 21:26:47 [NOTICE] emotion: normal
2015-12-20 21:27:28 [NOTICE] emotion: normal
2015-12-20 21:27:36 [NOTICE] emotion: normal
2015-12-20 21:27:40 [NOTICE] emotion: normal
2015-12-20 21:28:01 [NOTICE] emotion: normal
2015-12-20 21:28:16 [NOTICE] emotion: normal
2015-12-20 21:28:32 [NOTICE] emotion: normal
2015-12-20 21:28:45 [NOTICE] emotion: normal
2015-12-20 21:29:03 [NOTICE] emotion: normal
2015-12-20 21:29:10 [NOTICE] emotion: normal
2015-12-20 21:29:32 [NOTICE] emotion: normal
2015-12-20 21:29:45 [NOTICE] emotion: normal
2015-12-20 21:29:50 [NOTICE] emotion: normal
2015-12-20 21:29:55 [NOTICE] emotion: normal
2015-12-20 21:29:59 [NOTICE] emotion: normal
2015-12-20 21:30:05 [NOTICE] emotion: normal
2015-12-20 21:30:31 [NOTICE] emotion: normal
2015-12-20 21:30:42 [NOTICE] emotion: normal
2015-12-20 21:30:48 [NOTICE] emotion: normal
2015-12-20 21:30:53 [NOTICE] emotion: normal
